year,trade,iran GDP,China GDP
1373,5.717521001,13.86044855,28.13216603
1374,5.719327686,13.88694152,28.23610728
1375,5.754475589,13.93944883,28.33071184
1376,6.124902185,13.9476829,28.41906021
1377,6.616466711,13.96941206,28.49459438
1378,6.537126286,13.98624609,28.56841951
1379,6.600414569,14.04142786,28.64990815
1380,6.969602682,14.06173997,28.72997335
1381,7.126489122,14.13984948,28.81737563
1382,7.480259087,14.22066095,28.91303216
1383,7.752850716,14.2659911,29.00937403
1384,7.913155186,14.32724743,29.11728298
1385,8.244286753,14.38616576,29.23702715
1386,8.619025691,14.4607517,29.37007928
1387,8.853189601,14.46714853,29.46220801
1388,8.983698208,14.47973832,29.55203681
1389,9.247144706,14.54253337,29.65311158
1390,9.472754635,14.58466189,29.74433013
1391,9.524758334,14.51441812,29.82002869
1392,9.755274046,14.49499128,29.89482172
1393,10.0043125,14.52433225,29.96645087
1394,9.256902341,14.47801789,30.03450077
1395,9.831223802,14.59596438,30.10073798
1396,9.998721366,14.63260669,30.16790333
1397,9.864860543,14.57689293,30.23322179
1398,#NUM!,14.5095755,30.29102188
1399,9.847981714,14.5450215,30.31317214
