year,Ex,Im,Iran GDP,China GDP,,sum(ex+im)ln,iran GPD(Ln),China GDP(Ln)
1373,157٫2,146٫95,1045963,1650000000000,,5٫717521001,13٫86044855,28٫13216603
1374,72٫7,232,1074044,1830000000000,,5٫719327686,13٫88694152,28٫23610728
1375,73٫6,242,1131946,2010000000000,,5٫754475589,13٫93944883,28٫33071184
1376,62٫1,395,1141305,2200000000000,,6٫124902185,13٫9476829,28٫41906021
1377,92٫3,655,1166376,2370000000000,,6٫616466711,13٫96941206,28٫49459438
1378,77٫3,613,1186177,2550000000000,,6٫537126286,13٫98624609,28٫56841951
1379,170,565٫4,1253472,2770000000000,,6٫600414569,14٫04142786,28٫64990815
1380,177,886٫8,1279193,3000000000000,,6٫969602682,14٫06173997,28٫72997335
1381,198٫3,1046٫2,1383116,3280000000000,,7٫126489122,14٫13984948,28٫81737563
1382,231٫6,1541٫1,1499528,3600000000000,,7٫480259087,14٫22066095,28٫91303216
1383,266٫2,2062,1569066,3970000000000,,7٫752850716,14٫2659911,29٫00937403
1384,529,2204,1668186,4420000000000,,7٫913155186,14٫32724743,29٫11728298
1385,1053,2752٫82,1769426,4980000000000,,8٫244286753,14٫38616576,29٫23702715
1386,1243٫52,4292٫47,1906447,5690000000000,,8٫619025691,14٫4607517,29٫37007928
1387,2051٫32,4945٫35,1918681,6240000000000,,8٫853189601,14٫46714853,29٫46220801
1388,3125٫76,4846٫3,1942989,6830000000000,,8٫983698208,14٫47973832,29٫55203681
1389,4570٫97,5803٫93,2068912,7550000000000,,9٫247144706,14٫54253337,29٫65311158
1390,5557٫43,7443٫22,2157934,8280000000000,,9٫472754635,14٫58466189,29٫74433013
1391,5513٫18,8181٫44,2011554,8930000000000,,9٫524758334,14٫51441812,29٫82002869
1392,7458٫17,9786٫77,1972853,9620000000000,,9٫755274046,14٫49499128,29٫89482172
1393,9388٫91,12732٫75,2031596,10300000000000,,10٫0043125,14٫52433225,29٫96645087
1394,NA,10476٫63,1939650,11100000000000,,9٫256902341,14٫47801789,30٫03450077
1395,7852٫84,10752٫87,2182462,11800000000000,,9٫831223802,14٫59596438,30٫10073798
1396,8761٫99,13236٫33,2263916,12600000000000,,9٫998721366,14٫63260669,30٫16790333
1397,8828٫33,10413٫86,2141234,13500000000000,,9٫864860543,14٫57689293,30٫23322179
1399,9077٫12,9843٫01,2074066,14600000000000,,9٫847981714,14٫5450215,30٫31317214
